filename,width,height,class,xmin,ymin,xmax,ymax
Psoriasis-Chronic-Plaque-126_jpg.rf.f086f5f3ab9f56e0504756cac52fd564.jpg,640,640,Psoriasis Vulgar,6,0,640,634
psoriasis-pustular-generalized-52_jpg.rf.f3e4b1a5ed884e27ed78870f797d55bf.jpg,640,640,Psoriasis Eritrodermica,0,0,619,614
psoriasis-palms-soles-116_jpg.rf.f4fa91708917dec6a186eff72ae47157.jpg,640,640,Psoriasis Pustulosa,20,3,640,640
Psoriasis-Chronic-Plaque-1261_jpg.rf.f4fd13759ba1dc280a66d0abf7e2501d.jpg,640,640,Psoriasis Vulgar,13,51,640,640
psoriasis-57_jpg.rf.f4ead8b16b6226536270b1f180a5ca9c.jpg,640,640,Psoriasis Pustulosa,0,0,639,607
psoriasis-90_jpg.rf.f21e8aba453b98d6aab0363e4df97d9f.jpg,640,640,Psoriasis Guttata,1,0,640,637
psoriasis-109_jpg.rf.f4fc784cb5f3871918fa40d3751f4c92.jpg,640,640,Psoriasis Vulgar,0,6,640,611
Psoriasis-Chronic-Plaque-195_jpg.rf.f2ba20ff50f1c9dc25171ee451e2fbe8.jpg,640,640,Psoriasis Vulgar,27,0,526,639
psoriasis-111_jpg.rf.f14d14735a5556dcd90f56b7dae44a08.jpg,640,640,Psoriasis Vulgar,0,0,598,640
Psoriasis-Chronic-Plaque-98_jpg.rf.f043aa473613330b4a9157ea5f4466b4.jpg,640,640,Psoriasis Vulgar,20,7,640,640
Psoriasis-Hand-54_jpg.rf.f0b2a8b9928e839736474679c1cc0779.jpg,640,640,Psoriasis Eritrodermica,19,19,640,640
Psoriasis-inversus-33_jpg.rf.f27fbf56450f094b7162b3a4448ee485.jpg,640,640,Psoriasis Inversa,0,26,624,640
Psoriasis-inversus-10_jpg.rf.f1243de18df1667d84c45a4c5f7211b5.jpg,640,640,Psoriasis Inversa,0,0,638,639
psoriasis-53_jpg.rf.f1c76b4ee116c019c3acb88fdededc8e.jpg,640,640,Psoriasis Eritrodermica,58,0,640,625
descarga_jpg.rf.f4d139b9df18aece6691099523c203cb.jpg,640,640,Psoriasis Eritrodermica,85,0,622,637
Psoriasis-Anus-7_jpg.rf.f428a6296b8380f9f0d063704b3da426.jpg,640,640,Psoriasis Inversa,0,0,633,640
Psoriasis-Guttate-103_jpg.rf.f03eac5e9e0a5dddd9f0dab711e807f4.jpg,640,640,Psoriasis Guttata,0,0,639,638
Psoriasis-penis-3_jpg.rf.f5631700aafbfd8ac2760af6fa78a467.jpg,640,640,Psoriasis Inversa,39,58,419,635
Psoriasis-Chronic-Plaque-112_jpg.rf.f5434a3ded1cf0206e61cf4dce7462c5.jpg,640,640,Psoriasis Vulgar,0,0,639,634
Psoriasis-Chronic-Plaque-127_jpg.rf.f2cb66149ddbc7a15ce5dfeab8622c4c.jpg,640,640,Psoriasis Vulgar,5,1,640,640
Psoriasis-Hand-8_jpg.rf.f547cf43b13eea69f99e40c37aa1c51b.jpg,640,640,Psoriasis Vulgar,0,3,632,640
psoriasis-palms-soles-131_jpg.rf.f4def9997842195baf30be2380a97fa5.jpg,640,640,Psoriasis Vulgar,2,0,640,623
psoriasis-40-1_jpg.rf.f673f7d10bb69f1c24c59c9f04c36519.jpg,640,640,Psoriasis Vulgar,13,0,640,640
Psoriasis-Chronic-Plaque-10_jpg.rf.f60efa735de5601f9f29d5973739010f.jpg,640,640,Psoriasis Eritrodermica,0,0,638,639
psoriasis-37_jpg.rf.f68669ff3ce61bc3a2e0d4f4e55d9edd.jpg,640,640,Psoriasis Eritrodermica,144,5,573,640
Psoriasis-Guttate-70_jpg.rf.f9611a99666246b46659d8907b19dd91.jpg,640,640,Psoriasis Vulgar,0,0,640,633
psoriasis-pustular-generalized-59_jpg.rf.f6c454a0bc993dda69796cf1a857ddbe.jpg,640,640,Psoriasis Eritrodermica,0,26,639,638
Psoriasis-penis-15_jpg.rf.fa1e10a8aed9dd3e42f2d1c88d6030eb.jpg,640,640,Psoriasis Inversa,89,54,640,616
psoriasis-134_jpg.rf.fb303a8522ba54ce82c877d8d359b063.jpg,640,640,Psoriasis Vulgar,57,0,529,636
